"","control_rep1","control_rep2","treated_rep1","treated_rep2"
"Gene996",20,6,6,22
"Gene997",8,21,5,10
"Gene998",12,12,11,14
"Gene999",9,5,12,8
"Gene1000",11,7,12,19
"Gene1001",21,14,7,14
"Gene1002",14,14,22,9
"Gene1003",4,8,3,5
"Gene1004",12,10,9,10
"Gene1005",15,20,21,12
"Gene1006",13,16,14,15
"Gene1007",10,14,9,11
"Gene1008",11,12,9,25
"Gene1009",27,15,17,9
"Gene1010",9,19,3,10
"Gene1011",9,28,6,11
"Gene1012",13,9,25,13
"Gene1013",17,2,20,9
"Gene1014",3,11,12,20
"Gene1015",8,30,30,9
"Gene1016",12,6,15,8
"Gene1017",16,40,6,17
"Gene1018",13,13,18,36
"Gene1019",8,12,14,9
"Gene1020",11,7,7,3
"Gene1021",8,14,10,8
"Gene1022",30,10,20,4
"Gene1023",10,6,17,16
"Gene1024",11,11,3,16
"Gene1025",20,15,13,21
"Gene1026",8,9,10,13
"Gene1027",19,11,16,19
"Gene1028",14,10,10,7
"Gene1029",18,33,23,16
"Gene1030",25,12,15,10
"Gene1031",9,15,5,15
"Gene1032",9,5,6,16
"Gene1033",8,16,9,11
"Gene1034",27,13,25,21
"Gene1035",6,19,9,11
"Gene1036",13,8,5,11
"Gene1037",11,6,5,7
"Gene1038",17,18,8,13
"Gene1039",9,12,10,11
"Gene1040",19,27,13,7
"Gene1041",3,18,6,15
"Gene1042",8,19,10,7
"Gene1043",10,12,18,17
"Gene1044",15,15,15,15
"Gene1045",5,19,11,11
"Gene1046",4,6,13,20
"Gene1047",23,4,14,11
"Gene1048",9,13,5,24
"Gene1049",8,12,10,26
"Gene1050",8,22,7,8
"Gene1051",24,12,5,19
"Gene1052",10,27,22,19
"Gene1053",16,8,16,12
"Gene1054",30,6,13,6
"Gene1055",6,9,5,15
"Gene1056",7,16,5,11
"Gene1057",21,3,11,6
"Gene1058",14,11,14,10
"Gene1059",15,11,9,6
"Gene1060",18,13,10,16
"Gene1061",15,9,13,9
"Gene1062",11,13,23,18
"Gene1063",10,4,14,20
"Gene1064",8,14,6,8
"Gene1065",14,24,22,10
"Gene1066",12,5,7,12
"Gene1067",8,6,12,8
"Gene1068",15,13,11,8
"Gene1069",14,12,8,12
"Gene1070",7,17,15,17
"Gene1071",12,22,26,15
"Gene1072",10,14,10,9
"Gene1073",18,9,15,5
"Gene1074",12,15,7,16
"Gene1075",7,12,8,7
"Gene1076",20,16,11,16
"Gene1077",23,23,11,12
"Gene1078",6,9,10,17
"Gene1079",3,18,16,14
"Gene1080",9,15,20,14
"Gene1081",14,7,16,9
"Gene1082",7,10,16,13
"Gene1083",15,10,5,16
"Gene1084",11,9,6,21
"Gene1085",9,22,12,15
"Gene1086",7,6,10,8
"Gene1087",2,7,21,9
"Gene1088",14,13,14,7
"Gene1089",18,11,7,21
"Gene1090",13,12,13,10
"Gene1091",6,11,2,11
"Gene1092",6,4,5,25
"Gene1093",3,6,13,12
"Gene1094",7,10,15,6
"Gene1095",15,13,16,8
"Gene1096",11,12,16,8
"Gene1097",9,8,6,17
"Gene1098",5,13,13,16
"Gene1099",28,9,11,15
"Gene1100",7,5,19,19
"Gene1101",32,3,10,7
"Gene1102",15,7,24,20
"Gene1103",7,17,16,10
"Gene1104",11,16,18,33
"Gene1105",15,13,14,8
"Gene1106",15,11,12,10
"Gene1107",8,5,13,3
"Gene1108",9,7,13,8
"Gene1109",24,15,7,10
"Gene1110",5,14,20,5
"Gene1111",12,12,11,17
"Gene1112",6,24,7,6
"Gene1113",11,9,22,15
"Gene1114",16,20,17,7
"Gene1115",11,12,19,9
"Gene1116",9,15,7,8
"Gene1117",9,9,11,23
"Gene1118",10,11,5,14
"Gene1119",15,8,14,6
"Gene1120",9,28,2,12
"Gene1121",11,5,22,8
"Gene1122",12,17,16,7
"Gene1123",23,5,10,2
"Gene1124",16,14,12,11
"Gene1125",15,32,22,11
"Gene1126",8,9,6,12
"Gene1127",26,10,10,6
"Gene1128",14,11,20,15
"Gene1129",22,11,18,10
"Gene1130",8,7,21,6
"Gene1131",20,10,4,12
"Gene1132",13,14,20,14
"Gene1133",10,10,13,19
"Gene1134",11,9,10,11
"Gene1135",32,8,12,19
"Gene1136",5,6,14,12
"Gene1137",14,20,9,14
"Gene1138",8,19,14,12
"Gene1139",11,10,6,17
"Gene1140",25,14,12,8
"Gene1141",13,8,21,12
"Gene1142",17,7,11,25
"Gene1143",16,14,14,12
"Gene1144",17,6,22,12
"Gene1145",18,14,15,12
"Gene1146",10,12,10,5
"Gene1147",16,48,18,14
"Gene1148",12,9,11,11
"Gene1149",10,5,9,25
"Gene1150",12,11,13,6
"Gene1151",7,5,8,12
"Gene1152",32,3,18,10
"Gene1153",12,25,18,18
"Gene1154",7,10,13,3
"Gene1155",12,5,27,25
"Gene1156",18,6,10,35
"Gene1157",16,15,3,13
"Gene1158",7,8,12,13
"Gene1159",15,11,13,7
"Gene1160",16,32,15,18
"Gene1161",17,27,15,26
"Gene1162",7,10,16,15
"Gene1163",10,14,12,12
"Gene1164",5,15,17,10
"Gene1165",5,2,22,30
"Gene1166",12,13,13,18
"Gene1167",7,12,19,9
"Gene1168",14,22,13,23
"Gene1169",16,14,8,11
"Gene1170",11,13,8,13
"Gene1171",5,4,7,17
"Gene1172",2,12,11,11
"Gene1173",9,10,10,8
"Gene1174",4,21,5,9
"Gene1175",13,12,11,7
"Gene1176",6,16,12,10
"Gene1177",5,17,9,7
"Gene1178",24,19,10,9
"Gene1179",10,8,5,3
"Gene1180",13,6,10,19
"Gene1181",9,11,3,16
"Gene1182",8,13,14,15
"Gene1183",9,9,9,25
"Gene1184",12,26,23,14
"Gene1185",10,19,14,7
"Gene1186",14,10,26,8
"Gene1187",12,23,18,13
"Gene1188",16,7,4,9
"Gene1189",15,13,12,10
"Gene1190",16,4,25,12
"Gene1191",20,15,9,8
"Gene1192",8,6,13,10
"Gene1193",13,8,14,20
"Gene1194",6,16,24,4
"Gene1195",9,5,12,11
"Gene1196",13,7,8,26
"Gene1197",6,13,4,15
"Gene1198",24,13,11,8
"Gene1199",25,10,18,17
"Gene1200",7,14,7,13
"Gene1201",11,12,7,12
"Gene1202",8,7,26,15
"Gene1203",13,9,8,15
"Gene1204",11,8,9,7
"Gene1205",11,26,15,9
"Gene1206",17,9,8,13
"Gene1207",4,25,10,19
"Gene1208",6,13,4,13
"Gene1209",10,9,15,16
"Gene1210",7,20,9,16
"Gene1211",9,14,8,14
"Gene1212",16,15,7,21
"Gene1213",17,18,17,9
"Gene1214",13,6,21,14
"Gene1215",11,12,9,9
"Gene1216",13,23,7,21
"Gene1217",10,3,11,17
"Gene1218",7,8,11,6
"Gene1219",14,11,3,7
"Gene1220",25,9,9,31
"Gene1221",5,5,12,10
"Gene1222",14,12,13,11
"Gene1223",9,9,7,9
"Gene1224",7,9,15,10
"Gene1225",23,16,20,11
"Gene1226",20,5,20,15
"Gene1227",13,24,7,9
"Gene1228",13,15,8,8
"Gene1229",11,13,7,15
"Gene1230",11,12,9,11
"Gene1231",12,9,21,15
"Gene1232",18,9,15,22
"Gene1233",18,7,7,14
"Gene1234",9,8,10,13
"Gene1235",21,5,13,9
"Gene1236",12,23,14,13
"Gene1237",4,13,8,9
"Gene1238",11,18,11,7
"Gene1239",20,11,13,19
"Gene1240",7,12,10,7
"Gene1241",8,9,19,11
"Gene1242",18,7,8,20
"Gene1243",11,2,14,11
"Gene1244",8,13,14,9
"Gene1245",12,11,11,15
"Gene1246",3,10,14,9
"Gene1247",6,10,24,14
"Gene1248",7,11,17,22
"Gene1249",9,27,6,8
"Gene1250",16,14,7,11
"Gene1251",7,11,7,12
"Gene1252",10,10,20,10
"Gene1253",22,15,9,12
"Gene1254",11,17,15,7
"Gene1255",26,15,17,12
"Gene1256",21,20,25,8
"Gene1257",9,2,16,15
"Gene1258",13,20,8,12
"Gene1259",6,13,6,9
"Gene1260",9,14,9,14
"Gene1261",17,13,10,25
"Gene1262",16,10,15,26
"Gene1263",10,15,7,18
"Gene1264",7,14,15,9
"Gene1265",9,24,9,12
"Gene1266",15,6,12,23
"Gene1267",9,6,22,13
"Gene1268",12,15,29,17
"Gene1269",7,9,13,17
"Gene1270",9,11,9,17
"Gene1271",5,8,2,5
"Gene1272",10,15,8,34
"Gene1273",14,16,17,10
"Gene1274",9,17,9,12
"Gene1275",8,10,11,20
"Gene1276",11,16,9,7
"Gene1277",20,4,16,15
"Gene1278",7,20,11,10
"Gene1279",12,8,16,17
"Gene1280",11,7,29,20
"Gene1281",30,5,11,20
"Gene1282",9,14,18,15
"Gene1283",22,24,14,7
"Gene1284",20,7,10,18
"Gene1285",6,19,10,19
"Gene1286",8,19,10,14
"Gene1287",29,7,15,11
"Gene1288",4,10,12,7
"Gene1289",21,5,13,20
"Gene1290",9,1,7,22
"Gene1291",19,11,11,12
"Gene1292",5,8,12,13
"Gene1293",21,6,20,22
"Gene1294",8,9,11,4
"Gene1295",21,14,12,10
"Gene1296",17,4,8,12
"Gene1297",8,16,17,2
"Gene1298",15,7,15,13
"Gene1299",9,12,10,4
"Gene1300",4,20,8,11
"Gene1301",26,19,10,19
"Gene1302",6,10,12,18
"Gene1303",20,21,4,12
"Gene1304",6,16,3,6
"Gene1305",12,16,9,17
"Gene1306",7,8,10,9
"Gene1307",16,15,4,12
"Gene1308",14,13,13,6
"Gene1309",10,21,12,21
"Gene1310",5,12,12,14
"Gene1311",8,13,9,16
"Gene1312",18,14,7,13
"Gene1313",9,13,6,4
"Gene1314",8,9,18,6
"Gene1315",21,8,7,21
"Gene1316",13,2,10,17
"Gene1317",6,10,10,5
"Gene1318",6,13,5,9
"Gene1319",12,16,10,22
"Gene1320",7,25,14,16
"Gene1321",18,24,26,14
"Gene1322",17,4,17,4
"Gene1323",7,8,20,16
"Gene1324",12,10,9,11
"Gene1325",21,32,15,15
"Gene1326",5,12,13,15
"Gene1327",15,9,7,10
"Gene1328",11,4,12,10
"Gene1329",15,7,8,12
"Gene1330",22,11,8,21
"Gene1331",7,12,18,24
"Gene1332",31,23,10,9
"Gene1333",5,8,19,10
"Gene1334",6,26,14,18
"Gene1335",14,35,16,18
"Gene1336",5,10,16,24
"Gene1337",11,12,13,6
"Gene1338",18,24,4,10
"Gene1339",19,5,14,11
"Gene1340",6,25,12,15
"Gene1341",9,24,12,17
"Gene1342",24,18,20,3
"Gene1343",7,14,10,14
"Gene1344",9,13,14,12
"Gene1345",22,8,5,3
"Gene1346",8,21,8,16
"Gene1347",14,15,12,12
"Gene1348",20,15,20,16
"Gene1349",27,7,22,21
"Gene1350",3,9,24,16
"Gene1351",12,22,15,6
"Gene1352",19,17,11,10
"Gene1353",12,12,9,22
"Gene1354",18,12,8,11
"Gene1355",12,13,16,12
"Gene1356",15,8,14,4
"Gene1357",16,16,12,12
"Gene1358",11,8,6,10
"Gene1359",14,10,14,24
"Gene1360",16,5,10,6
"Gene1361",7,17,11,10
"Gene1362",15,15,11,22
"Gene1363",16,7,15,14
"Gene1364",14,10,14,14
"Gene1365",15,10,5,6
"Gene1366",9,15,8,17
"Gene1367",16,16,18,10
"Gene1368",14,9,6,11
"Gene1369",7,10,25,5
"Gene1370",8,13,11,11
"Gene1371",10,16,16,13
"Gene1372",4,8,13,18
"Gene1373",18,3,10,4
"Gene1374",9,16,7,13
"Gene1375",20,4,14,6
"Gene1376",11,9,9,4
"Gene1377",16,16,12,14
"Gene1378",18,5,9,42
"Gene1379",12,4,13,23
"Gene1380",11,22,19,10
"Gene1381",6,18,21,10
"Gene1382",6,16,11,6
"Gene1383",9,10,21,25
"Gene1384",2,23,11,24
"Gene1385",18,8,6,14
"Gene1386",8,10,9,9
"Gene1387",33,13,8,6
"Gene1388",10,9,8,26
"Gene1389",5,22,6,15
"Gene1390",13,4,19,10
"Gene1391",9,17,5,13
"Gene1392",12,24,15,12
"Gene1393",9,7,25,14
"Gene1394",12,12,13,19
"Gene1395",12,9,7,11
"Gene1396",4,8,5,17
"Gene1397",6,11,4,23
"Gene1398",15,7,17,13
"Gene1399",4,7,6,14
"Gene1400",6,15,7,14
"Gene1401",20,15,15,22
"Gene1402",16,12,6,18
"Gene1403",10,23,3,6
"Gene1404",17,16,8,10
"Gene1405",5,12,5,11
"Gene1406",9,28,12,8
"Gene1407",19,6,11,16
"Gene1408",27,11,16,9
"Gene1409",5,4,23,15
"Gene1410",5,11,22,5
"Gene1411",8,33,5,17
"Gene1412",19,15,11,10
"Gene1413",26,19,12,20
"Gene1414",14,12,9,14
"Gene1415",4,11,5,8
"Gene1416",39,11,17,19
"Gene1417",22,25,14,9
"Gene1418",7,11,14,5
"Gene1419",26,12,20,12
"Gene1420",7,15,5,19
"Gene1421",17,6,13,7
"Gene1422",10,12,21,14
"Gene1423",5,8,15,7
"Gene1424",12,5,9,19
"Gene1425",14,7,8,20
"Gene1426",10,12,7,5
"Gene1427",10,12,18,8
"Gene1428",9,9,16,9
"Gene1429",8,20,13,4
"Gene1430",5,7,9,17
"Gene1431",10,31,5,7
"Gene1432",14,9,10,11
"Gene1433",16,24,13,22
"Gene1434",8,16,10,23
"Gene1435",10,7,18,8
"Gene1436",23,9,8,14
"Gene1437",9,22,8,14
"Gene1438",3,12,11,13
"Gene1439",11,24,9,10
"Gene1440",13,10,19,9
"Gene1441",21,18,8,8
"Gene1442",16,15,6,15
"Gene1443",17,13,15,5
"Gene1444",13,11,10,10
"Gene1445",17,18,10,20
"Gene1446",14,47,9,33
"Gene1447",12,11,7,18
"Gene1448",6,8,10,11
"Gene1449",16,25,11,14
"Gene1450",10,28,16,24
"Gene1451",14,21,16,31
"Gene1452",23,13,13,9
"Gene1453",18,17,18,11
"Gene1454",9,4,15,22
"Gene1455",22,5,12,12
"Gene1456",13,11,26,34
"Gene1457",7,6,14,5
"Gene1458",14,34,12,18
"Gene1459",9,19,6,8
"Gene1460",7,10,12,10
"Gene1461",6,14,11,14
"Gene1462",17,13,11,7
"Gene1463",26,11,13,13
"Gene1464",33,15,8,16
"Gene1465",15,8,11,4
"Gene1466",22,39,20,13
"Gene1467",9,8,14,8
"Gene1468",11,6,4,23
"Gene1469",13,21,12,9
"Gene1470",5,14,12,19
"Gene1471",4,23,11,11
"Gene1472",12,17,13,11
"Gene1473",5,10,15,7
"Gene1474",25,22,19,12
"Gene1475",13,5,11,11
"Gene1476",9,17,14,17
"Gene1477",13,7,9,17
"Gene1478",7,15,14,10
"Gene1479",9,14,5,17
"Gene1480",9,21,20,18
"Gene1481",12,31,12,13
"Gene1482",20,16,5,17
"Gene1483",10,28,8,15
"Gene1484",10,21,19,6
"Gene1485",15,10,2,10
"Gene1486",22,6,4,15
"Gene1487",8,7,13,6
"Gene1488",7,13,18,21
"Gene1489",25,10,6,18
"Gene1490",15,7,17,11
"Gene1491",11,5,21,11
"Gene1492",26,6,15,4
"Gene1493",10,9,17,6
"Gene1494",11,8,12,10
"Gene1495",10,20,14,13
"Gene1496",15,15,19,15
"Gene1497",19,5,6,12
"Gene1498",9,19,12,3
"Gene1499",12,24,17,5
"Gene1500",8,9,11,29
"Gene1501",17,14,11,9
"Gene1502",8,6,14,21
"Gene1503",9,11,7,12
"Gene1504",13,16,10,12
"Gene1505",6,9,23,5
"Gene1506",13,11,19,13
"Gene1507",5,18,18,7
"Gene1508",10,16,9,12
"Gene1509",24,21,14,14
"Gene1510",6,9,16,11
"Gene1511",9,11,15,9
"Gene1512",19,15,11,9
"Gene1513",21,30,11,20
"Gene1514",13,13,16,23
"Gene1515",11,13,9,5
"Gene1516",21,16,8,11
"Gene1517",7,22,9,8
"Gene1518",15,10,25,13
"Gene1519",16,26,13,16
"Gene1520",15,10,11,18
"Gene1521",10,14,4,12
"Gene1522",4,12,10,15
"Gene1523",12,10,16,12
"Gene1524",16,5,8,10
"Gene1525",13,11,35,8
"Gene1526",11,16,6,8
"Gene1527",10,11,18,10
"Gene1528",3,18,17,18
"Gene1529",11,8,11,12
"Gene1530",9,7,4,24
"Gene1531",8,10,24,20
"Gene1532",4,6,8,11
"Gene1533",9,12,13,7
"Gene1534",10,17,12,18
"Gene1535",21,12,12,8
"Gene1536",6,9,13,21
"Gene1537",12,9,5,29
"Gene1538",10,6,21,9
"Gene1539",16,16,15,5
"Gene1540",9,4,14,12
"Gene1541",11,14,8,14
"Gene1542",16,6,8,13
"Gene1543",19,18,10,13
"Gene1544",14,29,12,9
"Gene1545",10,8,13,17
"Gene1546",33,13,8,8
"Gene1547",18,3,6,15
"Gene1548",7,11,23,9
"Gene1549",6,17,13,13
"Gene1550",9,14,13,10
"Gene1551",10,4,12,3
"Gene1552",8,8,15,19
"Gene1553",8,4,4,9
"Gene1554",4,24,11,6
"Gene1555",9,12,17,12
"Gene1556",16,10,13,18
"Gene1557",20,7,21,5
"Gene1558",10,9,9,14
"Gene1559",8,13,5,11
"Gene1560",11,16,11,5
"Gene1561",24,12,17,7
"Gene1562",21,5,12,9
"Gene1563",15,9,12,16
"Gene1564",7,13,12,12
"Gene1565",9,11,17,32
"Gene1566",6,8,15,6
"Gene1567",6,11,5,13
"Gene1568",7,3,25,9
"Gene1569",13,20,6,8
"Gene1570",10,9,8,5
"Gene1571",24,22,17,16
"Gene1572",27,14,18,22
"Gene1573",10,4,7,12
"Gene1574",14,21,12,16
"Gene1575",12,20,11,9
"Gene1576",8,9,4,4
"Gene1577",5,22,12,13
"Gene1578",14,7,8,6
"Gene1579",22,6,9,20
"Gene1580",15,12,8,20
"Gene1581",5,14,10,3
"Gene1582",14,21,23,6
"Gene1583",13,7,18,20
"Gene1584",1,8,8,7
"Gene1585",8,6,6,22
"Gene1586",23,17,18,10
"Gene1587",8,28,15,5
"Gene1588",16,12,11,17
"Gene1589",17,23,16,8
"Gene1590",10,8,7,31
"Gene1591",18,17,8,19
"Gene1592",21,12,4,11
"Gene1593",3,20,20,11
"Gene1594",10,14,14,9
"Gene1595",14,37,22,9
"Gene1596",8,9,13,4
"Gene1597",4,18,22,12
"Gene1598",18,5,7,16
"Gene1599",12,15,8,15
"Gene1600",13,8,9,16
"Gene1601",15,4,23,11
"Gene1602",10,16,21,10
"Gene1603",8,10,12,13
"Gene1604",11,4,20,30
"Gene1605",7,13,5,12
"Gene1606",7,7,13,8
"Gene1607",10,8,10,7
"Gene1608",10,8,14,20
"Gene1609",6,3,22,20
"Gene1610",13,7,14,20
"Gene1611",8,2,9,6
"Gene1612",9,15,3,7
"Gene1613",17,7,15,10
"Gene1614",6,14,16,15
"Gene1615",8,15,8,23
"Gene1616",2,14,17,16
"Gene1617",9,12,6,20
"Gene1618",25,7,11,14
"Gene1619",10,7,18,18
"Gene1620",30,9,10,6
"Gene1621",4,12,8,16
"Gene1622",14,21,6,16
"Gene1623",8,10,19,10
"Gene1624",16,9,16,10
"Gene1625",8,16,11,6
"Gene1626",13,14,15,15
"Gene1627",29,16,11,7
"Gene1628",12,15,7,12
"Gene1629",10,17,4,10
"Gene1630",16,7,13,20
"Gene1631",6,15,9,9
"Gene1632",6,24,5,14
"Gene1633",15,16,17,14
"Gene1634",11,12,11,14
"Gene1635",4,11,14,10
"Gene1636",14,7,12,15
"Gene1637",7,9,5,19
"Gene1638",12,24,35,8
"Gene1639",7,13,7,16
"Gene1640",14,9,7,3
"Gene1641",6,33,21,12
"Gene1642",17,8,10,12
"Gene1643",12,4,13,29
"Gene1644",8,9,17,18
"Gene1645",13,10,13,10
"Gene1646",8,13,23,13
"Gene1647",9,11,10,14
"Gene1648",7,16,19,20
"Gene1649",33,4,13,19
"Gene1650",10,11,9,8
"Gene1651",14,20,25,9
"Gene1652",9,6,8,5
"Gene1653",8,15,10,22
"Gene1654",12,9,5,19
"Gene1655",17,7,4,20
"Gene1656",10,12,6,5
"Gene1657",7,17,15,13
"Gene1658",12,24,17,5
"Gene1659",13,11,14,15
"Gene1660",2,11,11,13
"Gene1661",25,13,16,15
"Gene1662",14,10,6,12
"Gene1663",17,10,10,14
"Gene1664",13,11,9,9
"Gene1665",12,21,12,19
"Gene1666",3,16,12,26
"Gene1667",7,8,29,7
"Gene1668",15,5,15,4
"Gene1669",15,18,9,10
"Gene1670",11,12,20,26
"Gene1671",5,23,9,12
"Gene1672",16,14,23,13
"Gene1673",7,2,9,13
"Gene1674",9,12,11,12
"Gene1675",10,14,10,6
"Gene1676",15,9,10,12
"Gene1677",16,12,25,6
"Gene1678",23,15,5,7
"Gene1679",13,10,10,25
"Gene1680",5,8,11,27
"Gene1681",6,17,8,14
"Gene1682",7,10,32,6
"Gene1683",6,12,15,8
"Gene1684",10,15,10,13
"Gene1685",18,13,10,3
"Gene1686",6,5,20,19
"Gene1687",11,11,3,16
"Gene1688",17,15,20,7
"Gene1689",28,9,11,12
"Gene1690",14,10,14,19
"Gene1691",11,7,19,7
"Gene1692",11,19,9,7
"Gene1693",16,14,8,14
"Gene1694",6,11,42,12
"Gene1695",20,11,9,8
"Gene1696",13,15,18,10
"Gene1697",8,20,8,19
"Gene1698",18,16,8,13
"Gene1699",19,33,17,14
"Gene1700",7,11,26,9
"Gene1701",34,25,25,11
"Gene1702",9,19,6,8
"Gene1703",9,9,4,14
"Gene1704",9,3,9,17
"Gene1705",18,6,14,14
"Gene1706",13,6,12,8
"Gene1707",9,14,11,6
"Gene1708",10,5,6,20
"Gene1709",22,7,17,8
"Gene1710",7,10,10,19
"Gene1711",10,12,20,8
"Gene1712",9,12,22,13
"Gene1713",4,25,7,9
"Gene1714",9,11,5,3
"Gene1715",15,10,11,11
"Gene1716",7,24,11,13
"Gene1717",20,19,18,12
"Gene1718",4,12,15,22
"Gene1719",22,22,10,8
"Gene1720",10,8,5,22
"Gene1721",15,14,5,6
"Gene1722",7,7,13,18
"Gene1723",5,9,18,10
"Gene1724",14,13,11,8
"Gene1725",6,18,21,16
"Gene1726",25,12,20,8
"Gene1727",14,15,12,7
"Gene1728",7,5,10,8
"Gene1729",5,6,22,5
"Gene1730",4,8,10,13
"Gene1731",14,11,8,9
"Gene1732",14,12,14,9
"Gene1733",13,19,11,8
"Gene1734",14,24,7,11
"Gene1735",2,3,7,19
"Gene1736",11,14,12,25
"Gene1737",24,15,7,7
"Gene1738",22,8,10,14
"Gene1739",23,13,8,7
"Gene1740",5,6,17,18
"Gene1741",10,15,21,18
"Gene1742",15,16,17,12
"Gene1743",11,35,7,9
"Gene1744",23,16,16,3
"Gene1745",10,23,26,14
"Gene1746",7,2,8,7
"Gene1747",13,8,8,6
"Gene1748",7,8,10,20
"Gene1749",16,9,17,14
"Gene1750",14,11,22,20
"Gene1751",15,7,18,17
"Gene1752",4,19,7,21
"Gene1753",14,12,15,12
"Gene1754",23,19,4,24
"Gene1755",18,16,4,9
"Gene1756",8,11,17,13
"Gene1757",16,11,12,13
"Gene1758",9,14,5,5
"Gene1759",11,8,14,14
"Gene1760",21,7,12,9
"Gene1761",19,15,15,17
"Gene1762",5,12,10,16
"Gene1763",8,16,8,8
"Gene1764",16,7,13,21
"Gene1765",11,13,17,6
"Gene1766",24,18,14,10
"Gene1767",24,7,13,9
"Gene1768",12,4,17,8
"Gene1769",28,11,12,15
"Gene1770",10,25,14,21
"Gene1771",4,20,5,11
"Gene1772",8,20,21,12
"Gene1773",10,7,5,15
"Gene1774",16,15,12,9
"Gene1775",15,7,9,17
"Gene1776",10,6,7,3
"Gene1777",7,21,14,10
"Gene1778",4,7,7,5
"Gene1779",11,9,11,13
"Gene1780",17,4,12,7
"Gene1781",8,16,20,29
"Gene1782",20,7,10,17
"Gene1783",16,17,17,11
"Gene1784",12,27,11,6
"Gene1785",3,24,9,10
"Gene1786",16,9,6,9
"Gene1787",11,25,11,5
"Gene1788",11,19,5,14
"Gene1789",17,7,6,12
"Gene1790",14,9,9,9
"Gene1791",14,7,4,22
"Gene1792",8,8,15,2
"Gene1793",10,13,20,12
"Gene1794",12,8,11,9
"Gene1795",15,8,11,14
"Gene1796",5,14,16,12
"Gene1797",12,19,11,7
"Gene1798",12,24,5,8
"Gene1799",8,5,8,13
"Gene1800",12,4,17,23
"Gene1801",12,14,9,24
"Gene1802",11,29,16,6
"Gene1803",15,18,19,5
"Gene1804",9,6,16,11
"Gene1805",5,17,10,16
"Gene1806",7,10,6,12
"Gene1807",6,16,14,5
"Gene1808",13,9,8,13
"Gene1809",8,13,7,9
"Gene1810",4,16,9,3
"Gene1811",11,22,8,16
"Gene1812",20,10,9,20
"Gene1813",8,10,6,8
"Gene1814",10,13,8,9
"Gene1815",22,14,14,8
"Gene1816",6,8,8,23
"Gene1817",18,13,10,23
"Gene1818",12,33,8,16
"Gene1819",15,20,24,5
"Gene1820",14,14,17,23
"Gene1821",13,11,7,13
"Gene1822",10,14,16,16
"Gene1823",7,7,15,22
"Gene1824",11,7,16,22
"Gene1825",11,6,5,12
"Gene1826",5,13,12,22
"Gene1827",11,16,18,7
"Gene1828",10,19,22,16
"Gene1829",2,13,6,10
"Gene1830",5,8,3,13
"Gene1831",21,21,25,8
"Gene1832",16,24,9,32
"Gene1833",12,3,12,13
"Gene1834",15,16,6,9
"Gene1835",16,4,20,8
"Gene1836",11,12,11,12
"Gene1837",7,13,12,4
"Gene1838",5,9,13,24
"Gene1839",13,12,35,9
"Gene1840",21,18,15,7
"Gene1841",7,20,7,12
"Gene1842",17,27,25,16
"Gene1843",20,17,8,5
"Gene1844",5,5,18,5
"Gene1845",11,23,9,12
"Gene1846",10,20,14,16
"Gene1847",8,18,17,28
"Gene1848",9,33,5,13
"Gene1849",17,13,13,17
"Gene1850",14,16,7,13
"Gene1851",13,13,10,10
"Gene1852",10,15,15,6
"Gene1853",13,26,23,10
"Gene1854",14,12,9,13
"Gene1855",2,19,15,7
"Gene1856",23,9,6,31
"Gene1857",11,4,21,10
"Gene1858",7,4,6,22
"Gene1859",14,11,9,20
"Gene1860",12,22,14,23
"Gene1861",4,12,26,16
"Gene1862",27,15,15,24
"Gene1863",9,14,14,9
"Gene1864",20,8,13,11
"Gene1865",14,15,10,9
"Gene1866",5,18,13,21
"Gene1867",4,10,6,20
"Gene1868",10,10,7,20
"Gene1869",7,13,21,9
"Gene1870",9,7,4,25
"Gene1871",12,12,4,29
"Gene1872",12,17,9,18
"Gene1873",13,12,2,16
"Gene1874",15,15,9,6
"Gene1875",12,7,16,34
"Gene1876",13,12,8,12
"Gene1877",9,6,13,10
"Gene1878",14,21,15,29
"Gene1879",10,7,22,15
"Gene1880",4,14,17,14
"Gene1881",9,15,18,16
"Gene1882",8,7,19,6
"Gene1883",17,13,11,10
"Gene1884",6,5,8,16
"Gene1885",12,16,13,7
"Gene1886",9,20,12,25
"Gene1887",5,13,15,12
"Gene1888",9,11,15,6
"Gene1889",8,6,12,7
"Gene1890",11,17,12,8
"Gene1891",9,10,13,10
"Gene1892",11,8,17,8
"Gene1893",5,18,11,6
"Gene1894",14,22,18,8
"Gene1895",11,13,18,8
"Gene1896",17,10,8,27
"Gene1897",7,16,16,24
"Gene1898",15,18,8,9
"Gene1899",7,22,23,5
"Gene1900",11,13,10,8
"Gene1901",5,22,20,9
"Gene1902",16,12,4,5
"Gene1903",10,16,7,10
"Gene1904",8,11,9,17
"Gene1905",26,7,10,4
"Gene1906",14,12,9,9
"Gene1907",5,24,10,14
"Gene1908",25,16,5,7
"Gene1909",12,9,8,18
"Gene1910",8,26,6,22
"Gene1911",5,9,14,12
"Gene1912",4,13,7,7
"Gene1913",17,11,25,11
"Gene1914",20,11,9,6
"Gene1915",21,8,8,11
"Gene1916",14,14,8,7
"Gene1917",12,3,21,20
"Gene1918",5,9,29,12
"Gene1919",12,7,8,20
"Gene1920",20,17,12,35
"Gene1921",14,16,14,9
"Gene1922",10,6,12,6
"Gene1923",16,19,20,15
"Gene1924",12,5,20,7
"Gene1925",11,16,11,18
"Gene1926",15,12,9,14
